times,gradient-0.05_cross,gradient-0.1_cross,gradient-0.2_cross,gradient-0.5_cross,gradient-0.8_cross,adam-le-4_cross,adag-0.2_cross,,times,gradient-0.05_accuracy,gradient-0.1_accuracy,gradient-0.2_accuracy,gradient-0.5_accuracy,gradient-0.8_accuracy,adam-le-4_accuracy,adag-0.2_accuracy
times_3150,0.279129,0.10848,0.04464,0.0111165,0.00752232,0.266923,0.454951,,times_3150,0.8,0.814815,0.907407,0.92963,0.888889,0.718518,0.840741
times_3200,0.274294,0.106149,0.0435628,0.0108785,0.00735398,0.256851,0.45473,,times_3200,0.803704,0.814815,0.911111,0.92963,0.888889,0.722222,0.844444
times_3250,0.269591,0.103893,0.042528,0.0106496,0.0071923,0.24716,0.454517,,times_3250,0.803704,0.814815,0.911111,0.92963,0.888889,0.72963,0.844444
times_3300,0.265014,0.101709,0.0415336,0.0104292,0.00703692,0.237836,0.454311,,times_3300,0.803704,0.814815,0.911111,0.92963,0.888889,0.733333,0.844444
times_3350,0.260559,0.0995949,0.0405775,0.0102169,0.00688748,0.228855,0.454114,,times_3350,0.803704,0.814815,0.911111,0.925926,0.888889,0.748148,0.844444
times_3400,0.256221,0.0975475,0.0396579,0.0100123,0.00674366,0.220198,0.453923,,times_3400,0.803704,0.814815,0.911111,0.925926,0.888889,0.748148,0.844444
times_3450,0.251996,0.0955644,0.038773,0.00981497,0.00660518,0.211851,0.45374,,times_3450,0.807407,0.818519,0.911111,0.925926,0.888889,0.759259,0.844444
times_3500,0.247881,0.0936433,0.0379211,0.00962461,0.00647175,0.203808,0.453562,,times_3500,0.811111,0.818519,0.911111,0.925926,0.888889,0.759259,0.844444
times_3550,0.243871,0.0917818,0.0371007,0.00944083,0.0063431,0.196065,0.453391,,times_3550,0.818519,0.818519,0.911111,0.925926,0.888889,0.759259,0.844444
times_3600,0.239962,0.0899776,0.0363102,0.00926333,0.00621901,0.188617,0.453226,,times_3600,0.818519,0.822222,0.911111,0.925926,0.888889,0.759259,0.844444
times_3650,0.236151,0.0882285,0.0355483,0.00909179,0.00609923,0.181453,0.453067,,times_3650,0.818519,0.825926,0.911111,0.925926,0.888889,0.762963,0.844444
times_3700,0.232435,0.0865325,0.0348135,0.00892594,0.00598357,0.174553,0.452912,,times_3700,0.818519,0.825926,0.911111,0.925926,0.888889,0.762963,0.844444
times_3750,0.228811,0.0848876,0.0341047,0.00876551,0.00587182,0.167895,0.452763,,times_3750,0.822222,0.825926,0.911111,0.925926,0.888889,0.766667,0.844444
times_3800,0.225275,0.0832916,0.0334206,0.00861024,0.00576379,0.161461,0.452618,,times_3800,0.82963,0.825926,0.911111,0.925926,0.888889,0.77037,0.844444
times_3850,0.221823,0.081743,0.03276,0.00845992,0.00565931,0.155258,0.452479,,times_3850,0.82963,0.825926,0.911111,0.925926,0.888889,0.77037,0.844444
times_3900,0.218455,0.0802397,0.032122,0.00831431,0.00555821,0.149299,0.452343,,times_3900,0.833333,0.825926,0.911111,0.925926,0.888889,0.774074,0.844444
times_3950,0.215166,0.0787802,0.0315053,0.0081732,0.00546035,0.143592,0.452212,,times_3950,0.833333,0.825926,0.911111,0.925926,0.888889,0.774074,0.844444
times_4000,0.211953,0.0773627,0.0309092,0.00803639,0.00536557,0.138125,0.452085,,times_4000,0.837037,0.825926,0.911111,0.925926,0.888889,0.777778,0.844444
times_4050,0.208816,0.0759857,0.0303327,0.00790371,0.00527374,0.132885,0.451962,,times_4050,0.840741,0.82963,0.914815,0.925926,0.892593,0.785185,0.844444
times_4100,0.20575,0.0746477,0.0297749,0.00777498,0.00518472,0.127858,0.451842,,times_4100,0.837037,0.833333,0.914815,0.925926,0.892593,0.785185,0.844444
times_4150,0.202754,0.0733473,0.0292349,0.00765002,0.00509839,0.123033,0.451725,,times_4150,0.837037,0.833333,0.914815,0.925926,0.892593,0.785185,0.844444
times_4200,0.199826,0.0720831,0.0287121,0.00752869,0.00501465,0.1184,0.451613,,times_4200,0.840741,0.833333,0.914815,0.925926,0.892593,0.785185,0.844444
times_4250,0.196963,0.0708537,0.0282056,0.00741083,0.00493337,0.113949,0.451504,,times_4250,0.844444,0.833333,0.914815,0.925926,0.892593,0.785185,0.844444
times_4300,0.194163,0.069658,0.0277148,0.00729631,0.00485446,0.109672,0.451397,,times_4300,0.848148,0.833333,0.914815,0.925926,0.892593,0.788889,0.844444
times_4350,0.191424,0.0684947,0.0272389,0.007185,0.00477783,0.105561,0.451294,,times_4350,0.848148,0.82963,0.914815,0.925926,0.892593,0.788889,0.844444
times_4400,0.188745,0.0673628,0.0267775,0.00707675,0.00470338,0.101609,0.451194,,times_4400,0.848148,0.82963,0.914815,0.925926,0.892593,0.792593,0.840741
times_4450,0.186124,0.066261,0.0263298,0.00697146,0.00463101,0.0978097,0.451096,,times_4450,0.851852,0.82963,0.914815,0.925926,0.892593,0.796296,0.840741
times_4500,0.183558,0.0651884,0.0258953,0.006869,0.00456064,0.0941559,0.451001,,times_4500,0.851852,0.82963,0.914815,0.925926,0.892593,0.8,0.840741
times_4550,0.181046,0.0641441,0.0254734,0.00676928,0.00449221,0.0906424,0.450908,,times_4550,0.851852,0.82963,0.914815,0.925926,0.892593,0.803704,0.840741
times_4600,0.178588,0.0631269,0.0250638,0.00667219,0.00442562,0.0872641,0.450818,,times_4600,0.848148,0.82963,0.914815,0.925926,0.892593,0.803704,0.844444
times_4650,0.17618,0.0621361,0.0246657,0.00657762,0.00436082,0.0840159,0.450731,,times_4650,0.848148,0.833333,0.914815,0.925926,0.892593,0.803704,0.844444
times_4700,0.173822,0.0611707,0.0242789,0.0064855,0.00429772,0.080893,0.450645,,times_4700,0.848148,0.833333,0.914815,0.925926,0.892593,0.811111,0.844444
times_4750,0.171512,0.0602299,0.0239029,0.00639572,0.00423629,0.0778908,0.450562,,times_4750,0.848148,0.833333,0.914815,0.925926,0.892593,0.811111,0.844444
times_4800,0.169248,0.059313,0.0235372,0.00630819,0.00417643,0.0750049,0.450481,,times_4800,0.848148,0.833333,0.914815,0.925926,0.892593,0.811111,0.844444
times_4850,0.167031,0.0584192,0.0231814,0.00622285,0.00411812,0.072231,0.450402,,times_4850,0.848148,0.837037,0.914815,0.925926,0.892593,0.811111,0.844444
