times,gradient-0.05_cross,gradient-0.1_cross,gradient-0.2_cross,gradient-0.5_cross,gradient-0.8_cross,adam-le-4_cross,adag-0.2_cross,,times,gradient-0.05_accuracy,gradient-0.1_accuracy,gradient-0.2_accuracy,gradient-0.5_accuracy,gradient-0.8_accuracy,adam-le-4_accuracy,adag-0.2_accuracy
times_6000,0.374457,0.251927,0.407194,0.501844,0.0521492,1.60568,0.0698336,,times_6000,0.781482,0.855556,0.848148,0.840741,0.892593,0.566667,0.9
times_6050,0.372504,0.250552,0.406298,0.501339,0.0517871,1.59546,0.0693491,,times_6050,0.781482,0.851852,0.848148,0.840741,0.892593,0.566667,0.9
times_6100,0.370581,0.249196,0.405412,0.500841,0.0514301,1.58542,0.0688716,,times_6100,0.781482,0.851852,0.848148,0.840741,0.892593,0.566667,0.9
times_6150,0.368687,0.247858,0.404539,0.500349,0.0510781,1.57556,0.0684007,,times_6150,0.781482,0.855556,0.848148,0.840741,0.892593,0.566667,0.9
times_6200,0.366822,0.246538,0.403676,0.499864,0.0507311,1.56587,0.0679365,,times_6200,0.781482,0.855556,0.848148,0.840741,0.892593,0.57037,0.9
times_6250,0.364984,0.245236,0.402823,0.499385,0.0503889,1.55637,0.0674787,,times_6250,0.781482,0.855556,0.848148,0.840741,0.892593,0.585185,0.9
times_6300,0.363172,0.243951,0.401982,0.498912,0.0500515,1.54703,0.0670272,,times_6300,0.785185,0.859259,0.848148,0.840741,0.892593,0.588889,0.9
times_6350,0.361387,0.242682,0.40115,0.498445,0.0497187,1.53786,0.066582,,times_6350,0.785185,0.859259,0.848148,0.840741,0.892593,0.588889,0.9
times_6400,0.359627,0.24143,0.400329,0.497984,0.0493905,1.52886,0.0661428,,times_6400,0.785185,0.859259,0.848148,0.840741,0.892593,0.596296,0.9
times_6450,0.357893,0.240194,0.399517,0.49753,0.0490667,1.52001,0.0657095,,times_6450,0.785185,0.859259,0.848148,0.840741,0.892593,0.603704,0.9
times_6500,0.356182,0.238973,0.398716,0.49708,0.0487472,1.51132,0.065282,,times_6500,0.785185,0.862963,0.848148,0.840741,0.892593,0.614815,0.9
times_6550,0.354495,0.237768,0.397923,0.496637,0.0484321,1.50279,0.0648603,,times_6550,0.785185,0.862963,0.848148,0.840741,0.892593,0.611111,0.9
times_6600,0.352831,0.236578,0.397141,0.496199,0.0481211,1.4944,0.0644441,,times_6600,0.785185,0.862963,0.848148,0.840741,0.892593,0.618519,0.9
times_6650,0.35119,0.235403,0.396367,0.495767,0.0478142,1.48616,0.0640334,,times_6650,0.785185,0.862963,0.848148,0.840741,0.892593,0.622222,0.9
times_6700,0.349571,0.234242,0.395602,0.49534,0.0475114,1.47806,0.0636281,,times_6700,0.785185,0.866667,0.848148,0.840741,0.892593,0.62963,0.9
times_6750,0.347973,0.233096,0.394846,0.494918,0.0472125,1.4701,0.063228,,times_6750,0.788889,0.866667,0.848148,0.844444,0.892593,0.633333,0.9
times_6800,0.346396,0.231963,0.394099,0.494501,0.0469173,1.46228,0.0628331,,times_6800,0.792593,0.866667,0.848148,0.844444,0.892593,0.644444,0.9
times_6850,0.34484,0.230843,0.39336,0.49409,0.046626,1.4546,0.0624432,,times_6850,0.792593,0.866667,0.848148,0.844444,0.892593,0.644444,0.9
times_6900,0.343304,0.229737,0.392629,0.493683,0.0463385,1.44704,0.0620582,,times_6900,0.792593,0.866667,0.848148,0.844444,0.892593,0.648148,0.9
times_6950,0.341787,0.228644,0.391907,0.493281,0.0460545,1.43961,0.0616781,,times_6950,0.792593,0.866667,0.848148,0.844444,0.892593,0.651852,0.9
times_7000,0.34029,0.227564,0.391192,0.492884,0.0457741,1.4323,0.0613029,,times_7000,0.796296,0.866667,0.848148,0.844444,0.892593,0.655556,0.9
times_7050,0.338811,0.226496,0.390486,0.492492,0.0454972,1.42511,0.0609322,,times_7050,0.796296,0.866667,0.848148,0.844444,0.892593,0.659259,0.9
times_7100,0.337351,0.22544,0.389787,0.492104,0.0452238,1.41804,0.0605662,,times_7100,0.796296,0.866667,0.848148,0.844444,0.892593,0.666667,0.9
times_7150,0.335908,0.224397,0.389096,0.491721,0.0449536,1.41109,0.0602046,,times_7150,0.8,0.866667,0.848148,0.844444,0.892593,0.67037,0.9
times_7200,0.334483,0.223365,0.388412,0.491342,0.0446868,1.40424,0.0598475,,times_7200,0.8,0.866667,0.848148,0.844444,0.892593,0.67037,0.9
times_7250,0.333075,0.222345,0.387736,0.490967,0.0444233,1.39751,0.0594947,,times_7250,0.8,0.866667,0.848148,0.844444,0.896296,0.67037,0.9
times_7300,0.331684,0.221336,0.387066,0.490597,0.0441629,1.39088,0.0591461,,times_7300,0.8,0.866667,0.848148,0.844444,0.896296,0.67037,0.9
times_7350,0.33031,0.220338,0.386404,0.490232,0.0439056,1.38436,0.0588017,,times_7350,0.8,0.866667,0.848148,0.844444,0.896296,0.674074,0.9
times_7400,0.328951,0.219351,0.385749,0.48987,0.0436514,1.37794,0.0584614,,times_7400,0.803704,0.866667,0.848148,0.844444,0.896296,0.677778,0.9
times_7450,0.327609,0.218375,0.385101,0.489512,0.0434003,1.37161,0.0581252,,times_7450,0.807407,0.866667,0.848148,0.848148,0.896296,0.681481,0.9
times_7500,0.326282,0.217409,0.384459,0.489158,0.043152,1.36539,0.0577929,,times_7500,0.807407,0.866667,0.848148,0.848148,0.896296,0.685185,0.9
times_7550,0.324969,0.216454,0.383824,0.488809,0.0429067,1.35925,0.0574645,,times_7550,0.807407,0.866667,0.848148,0.848148,0.896296,0.685185,0.9
times_7600,0.323672,0.215509,0.383195,0.488463,0.0426642,1.35321,0.0571398,,times_7600,0.807407,0.866667,0.848148,0.848148,0.896296,0.685185,0.9
times_7650,0.32239,0.214574,0.382573,0.488121,0.0424246,1.34725,0.0568189,,times_7650,0.807407,0.866667,0.848148,0.848148,0.896296,0.688889,0.9
times_7700,0.321121,0.213649,0.381957,0.487783,0.0421876,1.34139,0.0565018,,times_7700,0.811111,0.866667,0.848148,0.848148,0.896296,0.688889,0.9
times_7750,0.319867,0.212733,0.381348,0.487448,0.0419534,1.33561,0.0561882,,times_7750,0.811111,0.866667,0.848148,0.848148,0.896296,0.688889,0.9
times_7800,0.318626,0.211827,0.380744,0.487117,0.0417219,1.32991,0.0558782,,times_7800,0.811111,0.866667,0.851852,0.848148,0.896296,0.692593,0.9
times_7850,0.317399,0.21093,0.380146,0.486789,0.0414929,1.32429,0.0555717,,times_7850,0.811111,0.866667,0.851852,0.851852,0.896296,0.692593,0.9
times_7900,0.316185,0.210042,0.379554,0.486465,0.0412665,1.31875,0.0552685,,times_7900,0.811111,0.866667,0.851852,0.851852,0.896296,0.692593,0.9
times_7950,0.314984,0.209163,0.378968,0.486145,0.0410427,1.31329,0.0549688,,times_7950,0.811111,0.87037,0.851852,0.851852,0.896296,0.692593,0.9
times_8000,0.313795,0.208293,0.378388,0.485828,0.0408213,1.30791,0.0546725,,times_8000,0.814815,0.87037,0.851852,0.851852,0.896296,0.692593,0.9
times_8050,0.312619,0.207431,0.377813,0.485514,0.0406024,1.3026,0.0543793,,times_8050,0.814815,0.87037,0.851852,0.851852,0.896296,0.692593,0.9
times_8100,0.311456,0.206579,0.377244,0.485204,0.0403858,1.29737,0.0540893,,times_8100,0.814815,0.87037,0.851852,0.851852,0.896296,0.692593,0.9
